"","DATE","TMAX","TMIN","PRCP","SNWD","TAVG"
"10088",1928-08-14,19,15.2,144,NA,17.1
"10089",1928-08-15,23.1,16.1,112,NA,19.6
"10090",1928-08-16,21.5,14.1,7,NA,17.8
"10091",1928-08-17,20.3,11.2,0,NA,15.75
"10092",1928-08-18,21.5,9.4,0,NA,15.45
"10093",1928-08-19,24.5,11,0,NA,17.75
"10094",1928-08-20,23.6,14.9,0,NA,19.25
"10095",1928-08-21,19.4,15.9,4,NA,17.65
"10096",1928-08-22,20.1,11.3,0,NA,15.7
"10097",1928-08-23,25.1,14.8,0,NA,19.95
"10098",1928-08-24,27.1,15,34,NA,21.05
"10099",1928-08-25,24.4,17.2,50,NA,20.8
"10100",1928-08-26,26.1,16.1,2,NA,21.1
"10101",1928-08-27,25.8,19.8,49,NA,22.8
"10102",1928-08-28,21.2,15.7,125,NA,18.45
"10103",1928-08-29,18.5,12.6,88,NA,15.55
"10104",1928-08-30,18.6,14.4,41,NA,16.5
"10105",1928-08-31,19.4,10.2,0,NA,14.8
"10106",1928-09-01,19.8,11,0,NA,15.4
"10107",1928-09-02,19,9.3,2,NA,14.15
"10108",1928-09-03,20.2,11.3,0,NA,15.75
"10109",1928-09-04,21,9.8,0,NA,15.4
"10110",1928-09-05,25.8,11.5,0,NA,18.65
"10111",1928-09-06,22.8,14.4,0,NA,18.6
"10112",1928-09-07,22,15.2,0,NA,18.6
"10113",1928-09-08,25.6,15,0,NA,20.3
"10114",1928-09-09,26.3,15.9,0,NA,21.1
"10115",1928-09-10,22.5,16.3,0,NA,19.4
"10116",1928-09-11,19,15.9,0,NA,17.45
"10117",1928-09-12,21.5,12.6,0,NA,17.05
"10118",1928-09-13,17.9,9.8,0,NA,13.85
"10119",1928-09-14,17.3,11,0,NA,14.15
"10120",1928-09-15,20,10.2,0,NA,15.1
"10121",1928-09-16,16.6,8.7,0,NA,12.65
"10122",1928-09-17,15.2,9,0,NA,12.1
"10123",1928-09-18,15.4,10.3,0,NA,12.85
"10124",1928-09-19,19.4,10.4,0,NA,14.9
"10125",1928-09-20,21.2,9.2,0,NA,15.2
"10126",1928-09-21,18.1,11.4,0,NA,14.75
"10127",1928-09-22,15.4,9,0,NA,12.2
"10128",1928-09-23,12.5,3.5,0,NA,8
"10129",1928-09-24,13.9,3,0,NA,8.45
"10130",1928-09-25,15.7,6,0,NA,10.85
"10131",1928-09-26,16.8,4.4,0,NA,10.6
"10132",1928-09-27,17.8,4.9,59,NA,11.35
"10133",1928-09-28,14.9,11.8,162,NA,13.35
"10134",1928-09-29,18.6,11.2,3,NA,14.9
"10135",1928-09-30,19,9.6,235,NA,14.3
"10136",1928-10-01,12.6,6.5,0,NA,9.55
"10137",1928-10-02,14.8,1.9,0,NA,8.35
"10138",1928-10-03,14.1,2.9,0,NA,8.5
"10139",1928-10-04,14.3,6.5,0,NA,10.4
"10140",1928-10-05,17.5,6.7,0,NA,12.1
"10141",1928-10-06,18.8,9.6,0,NA,14.2
"10142",1928-10-07,16.9,10.2,0,NA,13.55
"10143",1928-10-08,17,5.4,0,NA,11.2
"10144",1928-10-09,17.9,7.8,37,NA,12.85
"10145",1928-10-10,14.4,11,23,NA,12.7
"10146",1928-10-11,16.7,10.5,76,NA,13.6
"10147",1928-10-12,14.2,9.9,38,NA,12.05
"10148",1928-10-13,12.8,4.7,26,NA,8.75
"10149",1928-10-14,7.6,2.5,17,NA,5.05
"10150",1928-10-15,7,0,0,NA,3.5
"10151",1928-10-16,8,-0.4,0,NA,3.8
"10152",1928-10-17,12.7,0.8,3,NA,6.75
"10153",1928-10-18,17.9,8.2,0,NA,13.05
"10154",1928-10-19,18.6,10.8,5,NA,14.7
"10155",1928-10-20,23.8,8.8,187,NA,16.3
"10156",1928-10-21,16.5,11.4,165,NA,13.95
"10157",1928-10-22,11.4,9.6,128,NA,10.5
"10158",1928-10-23,15.6,7.2,0,NA,11.4
"10159",1928-10-24,15.6,6,0,NA,10.8
"10160",1928-10-25,16.8,7.5,0,NA,12.15
"10161",1928-10-26,13.4,8.2,7,NA,10.8
"10162",1928-10-27,12.5,8.2,18,NA,10.35
"10163",1928-10-28,11.6,7.8,3,NA,9.7
"10164",1928-10-29,11.8,7,0,NA,9.4
"10165",1928-10-30,11,2.5,0,NA,6.75
"10166",1928-10-31,10.8,5.8,0,NA,8.3
"10167",1928-11-01,12.7,7.4,0,NA,10.05
"10168",1928-11-02,13,5.9,59,NA,9.45
"10169",1928-11-03,12.4,6,9,NA,9.2
"10170",1928-11-04,10.9,5.1,0,NA,8
"10171",1928-11-05,10.4,2.1,0,NA,6.25
"10172",1928-11-06,11,2.4,0,NA,6.7
"10173",1928-11-07,9.6,3.1,0,NA,6.35
"10174",1928-11-08,5.4,2.3,0,NA,3.85
"10175",1928-11-09,6.2,4.1,66,NA,5.15
"10176",1928-11-10,5.9,4,2,NA,4.95
"10177",1928-11-11,5.3,2.5,133,NA,3.9
"10178",1928-11-12,9,3.8,10,NA,6.4
"10179",1928-11-13,10.2,5,0,NA,7.6
"10180",1928-11-14,12,6.4,0,NA,9.2
"10181",1928-11-15,11.4,4.3,51,NA,7.85
"10182",1928-11-16,18.1,8.5,59,NA,13.3
"10183",1928-11-17,16,9.5,27,NA,12.75
"10184",1928-11-18,10,6,18,NA,8
"10185",1928-11-19,10.9,2.5,9,NA,6.7
"10186",1928-11-20,12.6,5,2,NA,8.8
"10187",1928-11-21,8.2,2.5,0,NA,5.35
"10188",1928-11-22,11.2,3.2,16,NA,7.2
"10189",1928-11-23,15,9.8,104,NA,12.4
"10190",1928-11-24,15.5,6.5,34,NA,11
"10191",1928-11-25,12.6,4.8,106,NA,8.7
"10192",1928-11-26,10.6,4,32,NA,7.3
"10193",1928-11-27,6,2.6,56,NA,4.3
"10194",1928-11-28,4.2,2.4,46,NA,3.3
"10195",1928-11-29,4.4,1.7,7,NA,3.05
"10196",1928-11-30,3.6,-0.6,53,NA,1.5
"10197",1928-12-01,6.2,2,99,NA,4.1
"10198",1928-12-02,6.9,4.6,9,NA,5.75
"10199",1928-12-03,6.4,3.8,0,NA,5.1
"10200",1928-12-04,4.6,2,0,NA,3.3
"10201",1928-12-05,3.2,-0.5,0,NA,1.35
"10202",1928-12-06,3.7,-0.2,0,NA,1.75
"10203",1928-12-07,6.2,-2.7,0,NA,1.75
"10204",1928-12-08,3.8,0.2,131,NA,2
"10205",1928-12-09,2.5,0.3,24,NA,1.4
"10206",1928-12-10,2.8,0.3,0,NA,1.55
"10207",1928-12-11,1.7,-0.5,46,NA,0.6
"10208",1928-12-12,1.8,0.3,32,NA,1.05
"10209",1928-12-13,3.6,1.3,2,NA,2.45
"10210",1928-12-14,2.8,-0.6,4,NA,1.1
"10211",1928-12-15,0.2,-5,13,NA,-2.4
"10212",1928-12-16,-0.7,-4.1,0,NA,-2.4
"10213",1928-12-17,-0.4,-4,81,NA,-2.2
"10214",1928-12-18,4,-0.4,3,NA,1.8
"10215",1928-12-19,2.2,-0.4,0,NA,0.9
"10216",1928-12-20,-0.1,-2.4,0,NA,-1.25
"10217",1928-12-21,-0.6,-3,0,NA,-1.8
"10218",1928-12-22,-0.8,-4.7,0,NA,-2.75
"10219",1928-12-23,-0.4,-4.5,4,NA,-2.45
"10220",1928-12-24,-0.3,-4.6,0,NA,-2.45
"10221",1928-12-25,2.8,-4,0,NA,-0.6
"10222",1928-12-26,10.4,1.6,8,NA,6
"10223",1928-12-27,10.4,6.2,14,NA,8.3
"10224",1928-12-28,9.9,5.4,21,NA,7.65
"10225",1928-12-29,9.9,5.2,9,NA,7.55
"10226",1928-12-30,7.3,1.9,34,NA,4.6
"10227",1928-12-31,2.4,-0.7,0,NA,0.85
"10228",1929-01-01,1.2,-4.2,0,NA,-1.5
"10229",1929-01-02,-0.8,-3.4,12,NA,-2.1
"10230",1929-01-03,-1,-3.1,0,NA,-2.05
"10231",1929-01-04,-2.8,-4.1,0,NA,-3.45
"10232",1929-01-05,-3.1,-4.6,0,NA,-3.85
"10233",1929-01-06,-1.4,-5.2,0,NA,-3.3
"10234",1929-01-07,0.3,-5.5,0,NA,-2.6
"10235",1929-01-08,-0.7,-7.1,0,NA,-3.9
"10236",1929-01-09,-3.7,-5.4,0,NA,-4.55
"10237",1929-01-10,-2.3,-9.1,0,NA,-5.7
"10238",1929-01-11,-1.2,-6.8,0,NA,-4
"10239",1929-01-12,-1.8,-7.3,0,NA,-4.55
"10240",1929-01-13,0.4,-9.4,0,NA,-4.5
"10241",1929-01-14,-2.7,-10.6,1,NA,-6.65
"10242",1929-01-15,-0.7,-6.6,6,NA,-3.65
"10243",1929-01-16,-0.5,-8.9,5,NA,-4.7
"10244",1929-01-17,-2.6,-9.5,0,NA,-6.05
"10245",1929-01-18,1.2,-4.5,0,NA,-1.65
"10246",1929-01-19,3.1,-6.3,0,NA,-1.6
"10247",1929-01-20,5,-8.6,0,NA,-1.8
"10248",1929-01-21,-1.7,-9.1,4,NA,-5.4
"10249",1929-01-22,2.7,-2,8,NA,0.35
"10250",1929-01-23,6.9,0.5,22,NA,3.7
"10251",1929-01-24,2.1,-2.5,37,NA,-0.2
"10252",1929-01-25,-1.8,-4.1,0,NA,-2.95
"10253",1929-01-26,-2.5,-5.9,16,NA,-4.2
"10254",1929-01-27,-3.3,-8.8,9,NA,-6.05
"10255",1929-01-28,-0.5,-9.9,0,NA,-5.2
"10256",1929-01-29,-3.3,-11.7,0,NA,-7.5
"10257",1929-01-30,5.2,-6.5,0,NA,-0.65
"10258",1929-01-31,1.5,-6.4,0,NA,-2.45
"10259",1929-02-01,-2.5,-5.9,0,NA,-4.2
"10260",1929-02-02,-0.8,-8.8,0,NA,-4.8
"10261",1929-02-03,-4.9,-14.9,0,NA,-9.9
"10262",1929-02-04,-2.4,-12.3,0,NA,-7.35
"10263",1929-02-05,2.5,-11.4,0,NA,-4.45
"10264",1929-02-06,2.2,-8.9,0,NA,-3.35
"10265",1929-02-07,0.1,-5.4,0,NA,-2.65
"10266",1929-02-08,0.7,-6.4,0,NA,-2.85
"10267",1929-02-09,3.3,-9.5,0,NA,-3.1
"10268",1929-02-10,-0.8,-12.9,15,NA,-6.85
"10269",1929-02-11,-4.5,-16.4,0,NA,-10.45
"10270",1929-02-12,-13.4,-23.2,0,NA,-18.3
"10271",1929-02-13,-12.8,-21.8,1,NA,-17.3
"10272",1929-02-14,-9.3,-19.3,14,NA,-14.3
"10273",1929-02-15,-5,-17.1,0,NA,-11.05
"10274",1929-02-16,-3.7,-21.3,0,NA,-12.5
"10275",1929-02-17,-0.2,-14.1,0,NA,-7.15
"10276",1929-02-18,-0.7,-15.3,0,NA,-8
"10277",1929-02-19,0.4,-15.2,0,NA,-7.4
"10278",1929-02-20,2.1,-10.8,0,NA,-4.35
"10279",1929-02-21,1.4,-11.2,0,NA,-4.9
"10280",1929-02-22,5.3,-10.6,0,NA,-2.65
"10281",1929-02-23,11,-5.4,0,NA,2.8
"10282",1929-02-24,11.6,-1.4,17,NA,5.1
"10283",1929-02-25,11.9,2.5,24,NA,7.2
"10284",1929-02-26,9.1,2.2,54,NA,5.65
"10285",1929-02-27,5.6,-5.9,48,NA,-0.15
"10286",1929-02-28,-5.4,-9.1,0,NA,-7.25
"10287",1929-03-01,-1.8,-10,0,NA,-5.9
"10288",1929-03-02,0.3,-8.4,0,NA,-4.05
"10289",1929-03-03,3.8,-9.8,0,NA,-3
"10290",1929-03-04,3.2,-4,0,NA,-0.4
"10291",1929-03-05,2,-1.6,0,NA,0.2
"10292",1929-03-06,6.4,-5.6,0,NA,0.4
"10293",1929-03-07,6.4,-1,0,NA,2.7
"10294",1929-03-08,12,-3.2,0,NA,4.4
"10295",1929-03-09,16.1,-1.2,0,NA,7.45
"10296",1929-03-10,12.4,-1.3,0,NA,5.55
"10297",1929-03-11,14.3,-0.7,0,NA,6.8
"10298",1929-03-12,8.4,-2.3,0,NA,3.05
"10299",1929-03-13,5.3,0.4,1,NA,2.85
"10300",1929-03-14,5.9,-0.3,0,NA,2.8
"10301",1929-03-15,1.1,-1.4,0,NA,-0.15
"10302",1929-03-16,8.1,0.5,0,NA,4.3
"10303",1929-03-17,10.6,-0.7,0,NA,4.95
"10304",1929-03-18,16.7,0.1,0,NA,8.4
"10305",1929-03-19,18.5,1,0,NA,9.75
"10306",1929-03-20,18.6,2.3,0,NA,10.45
"10307",1929-03-21,19.3,2.3,0,NA,10.8
"10308",1929-03-22,15.7,6.1,0,NA,10.9
"10309",1929-03-23,11.4,7.8,114,NA,9.6
"10310",1929-03-24,9.3,7,27,NA,8.15
"10311",1929-03-25,12.5,4.6,0,NA,8.55
"10312",1929-03-26,14.9,-1.1,0,NA,6.9
"10313",1929-03-27,14.9,-0.7,0,NA,7.1
"10314",1929-03-28,13.2,-0.7,0,NA,6.25
"10315",1929-03-29,16.3,0.1,0,NA,8.2
"10316",1929-03-30,16.7,1.7,0,NA,9.2
"10317",1929-03-31,17.3,0.8,0,NA,9.05
"10318",1929-04-01,13,5.1,40,NA,9.05
"10319",1929-04-02,11.1,1.2,6,NA,6.15
"10320",1929-04-03,6,-0.3,20,NA,2.85
"10321",1929-04-04,3.9,-2,6,NA,0.95
"10322",1929-04-05,4.5,-1.5,49,NA,1.5
"10323",1929-04-06,3,-3.7,0,NA,-0.35
"10324",1929-04-07,7.2,-4.4,0,NA,1.4
"10325",1929-04-08,12.7,1.8,0,NA,7.25
"10326",1929-04-09,16.2,0.9,56,NA,8.55
"10327",1929-04-10,12.9,5.6,0,NA,9.25
"10328",1929-04-11,8.6,3,26,NA,5.8
"10329",1929-04-12,10,3.9,68,NA,6.95
"10330",1929-04-13,9.7,2.5,16,NA,6.1
"10331",1929-04-14,13,-0.1,134,NA,6.45
"10332",1929-04-15,9.7,4.5,131,NA,7.1
"10333",1929-04-16,11.8,6.3,0,NA,9.05
"10334",1929-04-17,14.6,2.8,0,NA,8.7
"10335",1929-04-18,18.6,-1,0,NA,8.8
"10336",1929-04-19,23.4,3.7,0,NA,13.55
"10337",1929-04-20,20.4,3.1,0,NA,11.75
"10338",1929-04-21,7.5,2.8,0,NA,5.15
"10339",1929-04-22,12.1,-1.7,0,NA,5.2
"10340",1929-04-23,13.2,-0.5,0,NA,6.35
"10341",1929-04-24,13.9,-0.4,0,NA,6.75
"10342",1929-04-25,12.5,3.1,0,NA,7.8
"10343",1929-04-26,11.2,1.4,5,NA,6.3
"10344",1929-04-27,15.4,3.5,0,NA,9.45
"10345",1929-04-28,20.5,2.1,0,NA,11.3
"10346",1929-04-29,20.2,6.5,9,NA,13.35
"10347",1929-04-30,16.9,6.8,11,NA,11.85
"10348",1929-05-01,16.7,6.7,79,NA,11.7
"10349",1929-05-02,16,2.7,75,NA,9.35
"10350",1929-05-03,13.6,4.6,29,NA,9.1
"10351",1929-05-04,15.4,6.4,0,NA,10.9
"10352",1929-05-05,24.6,4.5,0,NA,14.55
"10353",1929-05-06,26.7,9.3,8,NA,18
"10354",1929-05-07,16.7,9.7,0,NA,13.2
"10355",1929-05-08,24.5,5.9,36,NA,15.2
"10356",1929-05-09,14.6,8.6,12,NA,11.6
"10357",1929-05-10,16.9,4.9,0,NA,10.9
"10358",1929-05-11,18.7,3.3,0,NA,11
"10359",1929-05-12,19.1,9.3,0,NA,14.2
"10360",1929-05-13,20.5,9.5,0,NA,15
"10361",1929-05-14,22.1,5.1,19,NA,13.6
"10362",1929-05-15,17.8,8.2,0,NA,13
"10363",1929-05-16,18.5,8.9,0,NA,13.7
"10364",1929-05-17,19.1,5.1,52,NA,12.1
"10365",1929-05-18,15,4.7,11,NA,9.85
"10366",1929-05-19,13.8,8.1,0,NA,10.95
"10367",1929-05-20,18.4,6.9,0,NA,12.65
"10368",1929-05-21,22.8,7.4,0,NA,15.1
"10369",1929-05-22,26.4,6.1,0,NA,16.25
"10370",1929-05-23,27.5,6.6,0,NA,17.05
"10371",1929-05-24,28.3,10.3,0,NA,19.3
"10372",1929-05-25,28.2,10.5,0,NA,19.35
"10373",1929-05-26,30.7,10.2,0,NA,20.45
"10374",1929-05-27,28.6,14.3,214,NA,21.45
"10375",1929-05-28,25.4,14.9,45,NA,20.15
"10376",1929-05-29,26.3,12,0,NA,19.15
"10377",1929-05-30,24.7,12.4,0,NA,18.55
"10378",1929-05-31,24.2,9.5,38,NA,16.85
"10379",1929-06-01,22.4,11.6,0,NA,17
"10380",1929-06-02,23.2,7.7,1,NA,15.45
"10381",1929-06-03,27.3,14,11,NA,20.65
"10382",1929-06-04,19.2,10.6,62,NA,14.9
"10383",1929-06-05,18,9.8,44,NA,13.9
"10384",1929-06-06,17.8,10.4,39,NA,14.1
"10385",1929-06-07,18.1,14.4,32,NA,16.25
"10386",1929-06-08,25.1,15,77,NA,20.05
"10387",1929-06-09,24.1,15.9,24,NA,20
"10388",1929-06-10,20.3,14,7,NA,17.15
"10389",1929-06-11,24.9,13.5,0,NA,19.2
"10390",1929-06-12,30.9,16,61,NA,23.45
"10391",1929-06-13,23.4,14.2,0,NA,18.8
"10392",1929-06-14,28.3,11.7,36,NA,20
"10393",1929-06-15,20.8,12.9,0,NA,16.85
"10394",1929-06-16,25.2,8.9,0,NA,17.05
"10395",1929-06-17,25.5,12.5,0,NA,19
"10396",1929-06-18,28.4,11.6,0,NA,20
"10397",1929-06-19,31.5,13.3,0,NA,22.4
"10398",1929-06-20,30.9,14,14,NA,22.45
"10399",1929-06-21,22.8,13.7,41,NA,18.25
"10400",1929-06-22,22.6,6.5,9,NA,14.55
"10401",1929-06-23,20.6,12.5,18,NA,16.55
"10402",1929-06-24,22.9,14.1,16,NA,18.5
"10403",1929-06-25,20.8,9,0,NA,14.9
"10404",1929-06-26,19.4,5.1,0,NA,12.25
"10405",1929-06-27,20.6,6.9,0,NA,13.75
"10406",1929-06-28,22.6,6.2,0,NA,14.4
"10407",1929-06-29,27.1,7.8,63,NA,17.45
"10408",1929-06-30,24.8,14.6,50,NA,19.7
"10409",1929-07-01,21.9,13.4,0,NA,17.65
"10410",1929-07-02,26.6,9.8,24,NA,18.2
"10411",1929-07-03,29.9,16.2,0,NA,23.05
"10412",1929-07-04,26.4,15.8,184,NA,21.1
"10413",1929-07-05,24.2,11.9,0,NA,18.05
"10414",1929-07-06,16.7,10.2,214,NA,13.45
"10415",1929-07-07,18.1,10,2,NA,14.05
"10416",1929-07-08,18.4,6.6,16,NA,12.5
"10417",1929-07-09,20.2,8,0,NA,14.1
"10418",1929-07-10,25,6.2,0,NA,15.6
"10419",1929-07-11,28.2,6.8,0,NA,17.5
"10420",1929-07-12,29,10,0,NA,19.5
"10421",1929-07-13,30.4,15.8,0,NA,23.1
"10422",1929-07-14,26.2,15.7,0,NA,20.95
"10423",1929-07-15,28,9.9,0,NA,18.95
"10424",1929-07-16,31.4,10.4,0,NA,20.9
"10425",1929-07-17,34.5,15.7,0,NA,25.1
"10426",1929-07-18,33.4,17.4,0,NA,25.4
"10427",1929-07-19,33.9,17.5,188,NA,25.7
"10428",1929-07-20,32.9,15.4,1,NA,24.15
"10429",1929-07-21,33.7,16.5,5,NA,25.1
"10430",1929-07-22,32,16.8,0,NA,24.4
"10431",1929-07-23,35.6,18.1,95,NA,26.85
"10432",1929-07-24,29.8,17.9,61,NA,23.85
"10433",1929-07-25,27.1,15.8,11,NA,21.45
"10434",1929-07-26,23.4,14.1,13,NA,18.75
"10435",1929-07-27,21.7,13.7,0,NA,17.7
"10436",1929-07-28,25,9,0,NA,17
"10437",1929-07-29,20.4,12.8,13,NA,16.6
"10438",1929-07-30,23.6,14.8,0,NA,19.2
"10439",1929-07-31,24.5,12.9,0,NA,18.7
"10440",1929-08-01,20.7,12.8,28,NA,16.75
"10441",1929-08-02,22.6,12.5,20,NA,17.55
"10442",1929-08-03,24,8.5,0,NA,16.25
"10443",1929-08-04,28.6,8.1,0,NA,18.35
"10444",1929-08-05,20.1,12.8,52,NA,16.45
"10445",1929-08-06,24,9.9,0,NA,16.95
"10446",1929-08-07,29.6,11.3,28,NA,20.45
"10447",1929-08-08,21.1,15,159,NA,18.05
"10448",1929-08-09,18.1,13.5,10,NA,15.8
"10449",1929-08-10,17.7,13.8,1,NA,15.75
"10450",1929-08-11,23,11.3,0,NA,17.15
"10451",1929-08-12,27.7,13.9,0,NA,20.8
"10452",1929-08-13,25.5,13.2,0,NA,19.35
"10453",1929-08-14,29.6,12.2,0,NA,20.9
"10454",1929-08-15,29.7,14.1,2,NA,21.9
"10455",1929-08-16,30.5,14,52,NA,22.25
"10456",1929-08-17,25.8,16.3,0,NA,21.05
"10457",1929-08-18,25,15.3,166,NA,20.15
"10458",1929-08-19,17.1,12,26,NA,14.55
"10459",1929-08-20,17,11.5,2,NA,14.25
"10460",1929-08-21,18.9,12,5,NA,15.45
"10461",1929-08-22,23.5,7.4,59,NA,15.45
"10462",1929-08-23,22.2,12.1,0,NA,17.15
"10463",1929-08-24,26.7,14.8,0,NA,20.75
"10464",1929-08-25,27.2,11.8,0,NA,19.5
"10465",1929-08-26,26.2,14.3,0,NA,20.25
"10466",1929-08-27,29.9,11.3,0,NA,20.6
"10467",1929-08-28,31.9,15.1,0,NA,23.5
"10468",1929-08-29,29.6,14.3,0,NA,21.95
"10469",1929-08-30,31.3,14.1,0,NA,22.7
"10470",1929-08-31,32.5,13.9,0,NA,23.2
"10471",1929-09-01,33.8,16.2,0,NA,25
"10472",1929-09-02,32.7,15.2,0,NA,23.95
"10473",1929-09-03,32.4,13.5,0,NA,22.95
"10474",1929-09-04,33.7,15.1,0,NA,24.4
"10475",1929-09-05,32.6,14.4,0,NA,23.5
"10476",1929-09-06,32.3,15.1,0,NA,23.7
"10477",1929-09-07,22.6,12.6,0,NA,17.6
"10478",1929-09-08,24.5,5.4,0,NA,14.95
"10479",1929-09-09,31.4,8.2,0,NA,19.8
"10480",1929-09-10,29.9,12.5,0,NA,21.2
"10481",1929-09-11,27.5,10.8,0,NA,19.15
"10482",1929-09-12,31,15.2,24,NA,23.1
"10483",1929-09-13,30.9,15.1,0,NA,23
"10484",1929-09-14,28,14.1,40,NA,21.05
"10485",1929-09-15,25.6,14.2,0,NA,19.9
"10486",1929-09-16,25.9,14.5,0,NA,20.2
"10487",1929-09-17,24.9,13.6,0,NA,19.25
"10488",1929-09-18,27,10.9,20,NA,18.95
"10489",1929-09-19,24.3,14.1,12,NA,19.2
"10490",1929-09-20,24.8,14.8,57,NA,19.8
"10491",1929-09-21,18.9,8,0,NA,13.45
"10492",1929-09-22,19.3,9.3,0,NA,14.3
"10493",1929-09-23,18.2,5.3,0,NA,11.75
"10494",1929-09-24,19.4,7.8,0,NA,13.6
"10495",1929-09-25,19.4,2.5,0,NA,10.95
"10496",1929-09-26,19.1,3.3,0,NA,11.2
"10497",1929-09-27,21.8,3.6,0,NA,12.7
"10498",1929-09-28,24.5,5.3,0,NA,14.9
"10499",1929-09-29,25.9,6.5,0,NA,16.2
"10500",1929-09-30,23.6,8.6,0,NA,16.1
"10501",1929-10-01,22.6,10.3,0,NA,16.45
"10502",1929-10-02,24,14.5,0,NA,19.25
"10503",1929-10-03,29.2,16.1,0,NA,22.65
"10504",1929-10-04,27.7,11.9,0,NA,19.8
"10505",1929-10-05,25.7,9.6,0,NA,17.65
"10506",1929-10-06,18,8.9,43,NA,13.45
"10507",1929-10-07,13.1,8,0,NA,10.55
"10508",1929-10-08,15,8.3,213,NA,11.65
"10509",1929-10-09,13.7,7.1,15,NA,10.4
"10510",1929-10-10,10.8,6.1,13,NA,8.45
"10511",1929-10-11,13.1,7.6,15,NA,10.35
"10512",1929-10-12,16.7,8.6,0,NA,12.65
"10513",1929-10-13,16.9,4.8,0,NA,10.85
"10514",1929-10-14,18.8,3,0,NA,10.9
"10515",1929-10-15,17.1,6.2,0,NA,11.65
"10516",1929-10-16,19.9,5.3,0,NA,12.6
"10517",1929-10-17,16.9,4.9,0,NA,10.9
"10518",1929-10-18,17.6,5.4,17,NA,11.5
"10519",1929-10-19,13,8.1,251,NA,10.55
"10520",1929-10-20,8.9,3.9,45,NA,6.4
"10521",1929-10-21,8.7,0.7,0,NA,4.7
"10522",1929-10-22,16.8,2.5,30,NA,9.65
"10523",1929-10-23,15.5,9.4,12,NA,12.45
"10524",1929-10-24,16.6,7.5,0,NA,12.05
"10525",1929-10-25,10.3,4.9,24,NA,7.6
"10526",1929-10-26,10,3.2,47,NA,6.6
"10527",1929-10-27,9.6,2.6,0,NA,6.1
"10528",1929-10-28,8.9,-1.7,9,NA,3.6
"10529",1929-10-29,14.9,3.1,116,NA,9
"10530",1929-10-30,11.8,6.7,24,NA,9.25
"10531",1929-10-31,8.5,5.3,0,NA,6.9
"10532",1929-11-01,7.5,4.5,21,NA,6
"10533",1929-11-02,6.9,5,21,NA,5.95
"10534",1929-11-03,7.5,5.7,8,NA,6.6
"10535",1929-11-04,8.9,4.5,0,NA,6.7
"10536",1929-11-05,6.8,-0.9,0,NA,2.95
"10537",1929-11-06,9.6,0.4,0,NA,5
"10538",1929-11-07,10,1.6,0,NA,5.8
"10539",1929-11-08,12,2.8,49,NA,7.4
"10540",1929-11-09,11,7.4,0,NA,9.2
"10541",1929-11-10,11.6,6.4,22,NA,9
"10542",1929-11-11,10.6,-0.4,0,NA,5.1
"10543",1929-11-12,13.1,-1.8,8,NA,5.65
"10544",1929-11-13,7.4,0.4,5,NA,3.9
"10545",1929-11-14,4.5,-0.4,0,NA,2.05
"10546",1929-11-15,5.9,-4.2,2,NA,0.85
"10547",1929-11-16,10,-3.1,25,NA,3.45
"10548",1929-11-17,9.5,2,9,NA,5.75
"10549",1929-11-18,6.9,-2.4,0,NA,2.25
"10550",1929-11-19,6.3,-1.8,0,NA,2.25
"10551",1929-11-20,8.7,-2.1,0,NA,3.3
"10552",1929-11-21,5.4,-2.7,0,NA,1.35
"10553",1929-11-22,7,-2.3,1,NA,2.35
"10554",1929-11-23,12.6,-1.1,4,NA,5.75
"10555",1929-11-24,13.7,3.5,8,NA,8.6
"10556",1929-11-25,11.8,3,21,NA,7.4
"10557",1929-11-26,11.8,4.3,47,NA,8.05
"10558",1929-11-27,10,5.3,15,NA,7.65
"10559",1929-11-28,8.4,3.9,6,NA,6.15
"10560",1929-11-29,12.3,5.5,0,NA,8.9
"10561",1929-11-30,10.2,7.3,162,NA,8.75
"10562",1929-12-01,12.6,5.5,42,NA,9.05
"10563",1929-12-02,11.5,4.3,22,NA,7.9
"10564",1929-12-03,11,4.4,6,NA,7.7
"10565",1929-12-04,14.7,8.1,0,NA,11.4
"10566",1929-12-05,13.5,6.2,13,NA,9.85
"10567",1929-12-06,7.7,2.7,21,NA,5.2
"10568",1929-12-07,10.4,1.9,20,NA,6.15
"10569",1929-12-08,8.8,-0.1,2,NA,4.35
"10570",1929-12-09,12.4,4.8,48,NA,8.6
"10571",1929-12-10,13.6,3,30,NA,8.3
"10572",1929-12-11,12.4,3,39,NA,7.7
"10573",1929-12-12,13.2,6.3,66,NA,9.75
"10574",1929-12-13,9.8,0.7,0,NA,5.25
"10575",1929-12-14,11.2,-0.1,1,NA,5.55
"10576",1929-12-15,11.4,5.2,45,NA,8.3
"10577",1929-12-16,11,0.4,106,NA,5.7
"10578",1929-12-17,3.7,-1.1,13,NA,1.3
"10579",1929-12-18,1.9,-2.5,0,NA,-0.3
"10580",1929-12-19,0.6,-5.7,0,NA,-2.55
"10581",1929-12-20,-1.3,-5.9,0,NA,-3.6
"10582",1929-12-21,-3.1,-8.1,0,NA,-5.6
"10583",1929-12-22,-0.9,-8.4,11,NA,-4.65
"10584",1929-12-23,3.6,-2,58,NA,0.8
"10585",1929-12-24,9,1.2,111,NA,5.1
"10586",1929-12-25,8.2,1.8,129,NA,5
"10587",1929-12-26,5.8,3.4,92,NA,4.6
