"Year","CUMSUM_GDD_DAY_1","CUMSUM_GDD_DAY_2","CUMSUM_GDD_DAY_3","CUMSUM_GDD_DAY_4","CUMSUM_GDD_DAY_5","CUMSUM_GDD_DAY_6","CUMSUM_GDD_DAY_7","CUMSUM_GDD_DAY_8","CUMSUM_GDD_DAY_9","CUMSUM_GDD_DAY_10","CUMSUM_GDD_DAY_11","CUMSUM_GDD_DAY_12","CUMSUM_GDD_DAY_13","CUMSUM_GDD_DAY_14","CUMSUM_GDD_DAY_15","CUMSUM_GDD_DAY_16","CUMSUM_GDD_DAY_17","CUMSUM_GDD_DAY_18","CUMSUM_GDD_DAY_19","CUMSUM_GDD_DAY_20","CUMSUM_GDD_DAY_21","CUMSUM_GDD_DAY_22","CUMSUM_GDD_DAY_23","CUMSUM_GDD_DAY_24","CUMSUM_GDD_DAY_25","CUMSUM_GDD_DAY_26","CUMSUM_GDD_DAY_27","CUMSUM_GDD_DAY_28","CUMSUM_GDD_DAY_29","CUMSUM_GDD_DAY_30","CUMSUM_GDD_DAY_31","CUMSUM_GDD_DAY_32","CUMSUM_GDD_DAY_33","CUMSUM_GDD_DAY_34","CUMSUM_GDD_DAY_35","CUMSUM_GDD_DAY_36","CUMSUM_GDD_DAY_37","CUMSUM_GDD_DAY_38","CUMSUM_GDD_DAY_39","CUMSUM_GDD_DAY_40","CUMSUM_GDD_DAY_41","CUMSUM_GDD_DAY_42","CUMSUM_GDD_DAY_43","CUMSUM_GDD_DAY_44","CUMSUM_GDD_DAY_45","CUMSUM_GDD_DAY_46","CUMSUM_GDD_DAY_47","CUMSUM_GDD_DAY_48","CUMSUM_GDD_DAY_49","CUMSUM_GDD_DAY_50","CUMSUM_GDD_DAY_51","CUMSUM_GDD_DAY_52","CUMSUM_GDD_DAY_53","CUMSUM_GDD_DAY_54","CUMSUM_GDD_DAY_55","CUMSUM_GDD_DAY_56","CUMSUM_GDD_DAY_57","CUMSUM_GDD_DAY_58","CUMSUM_GDD_DAY_59","CUMSUM_GDD_DAY_60","CUMSUM_GDD_DAY_61","CUMSUM_GDD_DAY_62","CUMSUM_GDD_DAY_63","CUMSUM_GDD_DAY_64","CUMSUM_GDD_DAY_65","CUMSUM_GDD_DAY_66","CUMSUM_GDD_DAY_67","CUMSUM_GDD_DAY_68","CUMSUM_GDD_DAY_69","CUMSUM_GDD_DAY_70","CUMSUM_GDD_DAY_71","CUMSUM_GDD_DAY_72","CUMSUM_GDD_DAY_73","CUMSUM_GDD_DAY_74","CUMSUM_GDD_DAY_75","CUMSUM_GDD_DAY_76","CUMSUM_GDD_DAY_77","CUMSUM_GDD_DAY_78","CUMSUM_GDD_DAY_79","CUMSUM_GDD_DAY_80","CUMSUM_GDD_DAY_81","CUMSUM_GDD_DAY_82","CUMSUM_GDD_DAY_83","CUMSUM_GDD_DAY_84","CUMSUM_GDD_DAY_85","CUMSUM_GDD_DAY_86","CUMSUM_GDD_DAY_87","CUMSUM_GDD_DAY_88","CUMSUM_GDD_DAY_89","CUMSUM_GDD_DAY_90","CUMSUM_GDD_DAY_91","CUMSUM_GDD_DAY_92","CUMSUM_GDD_DAY_93","CUMSUM_GDD_DAY_94","CUMSUM_GDD_DAY_95","CUMSUM_GDD_DAY_96","CUMSUM_GDD_DAY_97","CUMSUM_GDD_DAY_98","CUMSUM_GDD_DAY_99","CUMSUM_GDD_DAY_100","CUMSUM_GDD_DAY_101","CUMSUM_GDD_DAY_102","CUMSUM_GDD_DAY_103","CUMSUM_GDD_DAY_104","CUMSUM_GDD_DAY_105","CUMSUM_GDD_DAY_106","CUMSUM_GDD_DAY_107","CUMSUM_GDD_DAY_108","CUMSUM_GDD_DAY_109","CUMSUM_GDD_DAY_110","CUMSUM_GDD_DAY_111","CUMSUM_GDD_DAY_112","CUMSUM_GDD_DAY_113","CUMSUM_GDD_DAY_114","CUMSUM_GDD_DAY_115","CUMSUM_GDD_DAY_116","CUMSUM_GDD_DAY_117","CUMSUM_GDD_DAY_118","CUMSUM_GDD_DAY_119","CUMSUM_GDD_DAY_120","CUMSUM_GDD_DAY_121","CUMSUM_GDD_DAY_122","CUMSUM_GDD_DAY_123","CUMSUM_GDD_DAY_124","CUMSUM_GDD_DAY_125","CUMSUM_GDD_DAY_126","CUMSUM_GDD_DAY_127","CUMSUM_GDD_DAY_128","CUMSUM_GDD_DAY_129","CUMSUM_GDD_DAY_130","CUMSUM_GDD_DAY_131","CUMSUM_GDD_DAY_132","CUMSUM_GDD_DAY_133","CUMSUM_GDD_DAY_134","CUMSUM_GDD_DAY_135","CUMSUM_GDD_DAY_136","Chilling_Hours","Utah_Model","Chill_Portions","GDH","last_year_bloom_doy","avg_last_5","sd_last_5","avg_last_10","sd_last_10","ACC_TMAX_Fall","ACC_TMAX_Spring","ACC_TMAX_Winter","ACC_TMIN_Fall","ACC_TMIN_Spring","ACC_TMIN_Winter","ACC_TAVG_Fall","ACC_TAVG_Spring","ACC_TAVG_Winter","ACC_PRCP_Fall","ACC_PRCP_Spring","ACC_PRCP_Winter","AVG_TMAX_Fall","AVG_TMAX_Spring","AVG_TMAX_Winter","AVG_TMIN_Fall","AVG_TMIN_Spring","AVG_TMIN_Winter","AVG_TAVG_Fall","AVG_TAVG_Spring","AVG_TAVG_Winter","AVG_PRCP_Fall","AVG_PRCP_Spring","AVG_PRCP_Winter","bloom_doy"
1926,3.85,7.95,11.4,13.15,14.65,16.85,20.6,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,20.85,21.65,21.65,22.1,23,24,24.85,28.5,32.3,35.35,41.05,45.65,49.75,53.6,54.6,58.75,62.9,66,69.8,72.35,73.85,75.45,77.65,83.15,87.35,92,95.35,99.55,102.6,106.85,109.3,110.35,112.95,116.35,119.25,122.25,127.3,130,130,130,133.2,139.6,145.25,146.6,146.6,148.9,152.75,155.45,156.4,158.65,158.65,159.85,160.1,160.55,160.55,160.55,160.55,162.55,166.25,170.7,172.55,175.25,183.6,192.6,199.3,208,217.4,228.4,239.55,249.4,258.8,269.1,276.7,280.05,285,289.6,294.75,301.8,309.6,319.35,327.1,331.7,333.95,341.15,346.3,352.05,356.3,360.75,367,378.1,383.65,388.9,396.55,406.45,419.45,434.1,446.05,456.35,462.65,470.1,474.85,477.5,480.8,484.8,488.6,496.55,504.9,513.55,519.95,525.15,530.6,891,745,40.2544390594487,1695.88575333488,104,105.4,7.43639697703128,104.8,10.6957935656967,1437.3,1314.1,509.2,729.3,523.2,46.8,1083.3,918.65,278,2078,1623,883,15.7945054945055,14.2836956521739,5.65777777777778,8.01428571428571,5.68695652173913,0.52,11.9043956043956,9.98532608695652,3.08888888888889,22.8351648351648,17.6413043478261,9.81111111111111,99
1927,0,0,0,0,0,0,0,0,0,1.5,4.2,5.05,5.95,6.4,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.5,7.85,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.6,10.6,10.6,10.6,10.6,10.6,12.35,13.75,16.15,21.35,27.1,33.35,38.1,42.25,45.3,50.7,54.4,58,61.65,64.95,68.35,69.85,71.15,71.15,71.15,72.5,72.5,72.5,75.15,79.1,84.25,90.05,96.75,102.65,109.65,115.3,119,124.3,128.7,133.15,137.05,142.1,144.65,147,149.35,153.2,160,166.95,177.9,187.15,193.75,199.95,203.5,207.25,210.85,212.8,217.4,224.35,227.9,230.3,232.85,240.45,250.25,260.55,271.95,283.4,289.45,294.2,302.55,305.9,311.15,322.2,333.05,340.3,350.2,361.75,374.55,388.9,402.15,416.95,432.65,445.3,458.15,463.45,469.5,475,479.45,486.7,498.7,899,732.5,39.2166327867619,1403.9211977772,99,104.8,6.97853852894716,103.2,8.46955331368386,1234.9,1406.3,414.7,639.6,579.2,-39,937.25,992.75,187.85,1576,2011,1278,13.5703296703297,15.2858695652174,4.60777777777778,7.02857142857143,6.29565217391304,-0.433333333333333,10.2994505494505,10.7907608695652,2.08722222222222,17.3186813186813,21.8586956521739,14.2,108
1928,0,0,0,0,0,0.7,3.3,4.95,8.25,12.85,16.25,19.1,19.65,21.35,22.3,23.7,25.05,25.15,25.15,25.15,25.15,25.15,25.15,25.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.15,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.95,28.9,31.2,31.4,34.2,41.25,49.4,54.75,59.2,60.15,60.15,60.25,60.65,60.65,60.65,60.9,60.9,61.05,61.05,61.25,61.9,64.2,65.15,67.7,69.25,72.7,76.65,80.3,82.7,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,83.15,85,88.1,91.1,91.2,95.95,103.1,109.15,113.7,119.4,125.7,130.45,133.85,142.75,148.65,151.3,153.6,156.3,162.25,169.7,176.25,181.35,188.05,196.7,208.2,216.4,222.8,230.2,236.95,245.85,252.15,253.75,255.1,255.95,257.65,259.6,261.85,264.55,268,275.55,285.6,296.9,306.1,316.2,326,335.05,346.75,359.35,369.95,378.25,387,398.5,407.8,410.65,413.85,415.75,421.1,427.2,435.4,442.8,844,852.5,43.013205672753,1587.44242924588,108,106.2,5.89067059000926,103.4,8.48789988421426,1320.1,1285.4,548.1,649.9,458.3,50.4,985,871.85,299.25,2093,1776,1360,14.5065934065934,13.9717391304348,6.02307692307692,7.14175824175824,4.98152173913043,0.553846153846154,10.8241758241758,9.47663043478261,3.28846153846154,23,19.304347826087,14.9450549450549,105
1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4.3,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.35,9.8,11.35,14.15,14.15,14.15,14.15,14.15,14.45,15.4,19.8,25.55,32,38.8,45.7,51.3,55.45,60,62.9,66,68.25,72.45,77.65,82.7,87.75,89.9,89.9,89.9,89.9,89.9,89.9,93.15,97.7,102.95,104.75,107.7,109.8,112.25,115.35,120.4,125.1,129.9,139.45,147.2,148.35,149.55,151.9,154.65,158.45,160.75,166.2,173.5,182.85,190.7,198.4,203.75,208.85,215.75,226.3,240.3,249.5,260.7,268.3,275.2,282.2,292.4,303.4,313,322,331.7,818,956.5,44.7249193656827,1694.6492441209,105,107.6,8.67755725996665,104.4,10.0576118216779,1554.1,1365.3,254,578.8,282.3,-465.9,1066.45,823.8,-105.95,1461,1337,1281,17.078021978022,14.8402173913043,2.82222222222222,6.36043956043956,3.06847826086957,-5.17666666666667,11.7192307692308,8.95434782608696,-1.17722222222222,16.0549450549451,14.5326086956522,14.2333333333333,122
1930,0,2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.65,8.75,12.75,16.55,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,19.7,20.45,22.4,22.4,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.05,25.8,27.4,31.9,32.75,32.8,34.15,36.7,39.95,43.95,46.2,50.9,53.9,56.35,61,61,61,61,64.55,71.9,75.8,79.85,84.95,86.5,86.5,86.65,87.8,91.75,94.2,96.5,101.15,104.05,109.95,116.55,121.65,125.75,133.95,144.1,152.9,157.75,164.3,169.65,174.25,178.75,182.55,187.65,194.7,203.65,209.65,212.5,212.75,212.75,212.9,215.85,216.1,218.7,224.6,232.15,241.15,250.2,261.7,272.75,283.65,294.9,306.95,315.25,320.2,326.6,336.1,345.85,356.2,363.05,366.65,370.7,374.8,378.55,385.85,392.05,398.4,408.55,419.85,430.9,755,755.5,38.93037259202,2110.12453550025,122,108.6,8.44393273303382,106.3,8.74388675335835,1449.1,1407.3,501.6,642.3,444.6,-80.6,1045.7,925.95,210.5,2587,2612,861,15.9241758241758,15.2967391304348,5.57333333333333,7.05824175824176,4.83260869565217,-0.895555555555556,11.4912087912088,10.0646739130435,2.33888888888889,28.4285714285714,28.3913043478261,9.56666666666667,109
1931,2.9,4.15,4.9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.65,8.65,8.65,10.5,11.5,11.5,13.75,18.15,19.7,19.7,19.7,19.7,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,23.6,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,27.45,28.35,32.8,38.1,41.75,45.8,51,57.85,62.35,65,67.9,71.8,72.6,72.6,72.6,72.8,76.75,81.5,86.1,89.3,93.65,98.5,104.35,110.3,118.75,125.1,131.7,138.5,142.3,147.25,151.8,154.25,155.45,156.05,158.25,158.8,162.85,167.7,177.05,186.4,193.5,199.15,204.4,209.55,214.6,220.85,231.95,240.8,248.75,257.55,265.35,274.85,284.2,294.05,303.85,313.05,325.55,339.05,353.75,370.25,386.8,798,751,39.0752063275804,1324.33940292347,109,112,6.89202437604511,108.7,7.60190034720851,1228.1,1382.1,353.5,372.3,320.5,-255,800.2,851.3,49.25,1454,2116,1285,13.4956043956044,15.0228260869565,3.92777777777778,4.09120879120879,3.48369565217391,-2.83333333333333,8.79340659340659,9.25326086956522,0.547222222222222,15.978021978022,23,14.2777777777778,116
1932,0,0,0.6,3.4,3.85,5.45,9.75,11.55,11.55,11.55,11.55,12.65,12.65,13.8,13.95,13.95,13.95,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.95,17.1,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,22.4,23.55,23.55,23.55,23.55,24.8,24.8,24.8,24.8,24.8,25.7,31.2,35.25,39.6,46.45,51.95,55.2,60.6,66.55,74.65,77.6,79.4,84.25,85.45,88.75,95.75,101.05,101.6,102.05,102.3,102.3,103.85,108.35,111.8,114.25,116.75,119.65,128.05,135.25,141.8,145.95,149.95,155.4,164.3,176.4,188.5,198.8,206.3,214.45,222.05,226,228.8,232.7,237.85,243.65,247.9,253.55,263.8,276.85,292.15,307.4,915,775.5,42.2505256493177,775.025644164999,116,114.4,7.23187389270582,109.6,8.39576612876329,1443.8,1285.1,351.7,630.1,265.5,-305,1036.95,775.3,23.35,1784,2609,634,15.8659340659341,13.9684782608696,3.86483516483516,6.92417582417582,2.88586956521739,-3.35164835164835,11.3950549450549,8.42717391304348,0.256593406593407,19.6043956043956,28.3586956521739,6.96703296703297,120
1933,0,0,0,1.05,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,7.3,12.95,20.05,26.35,29.05,32.6,36.95,40.3,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,41.9,48.8,54.2,57.6,60.25,62,64.8,66.15,68.45,70.9,72.4,75.6,78.8,82.55,86.8,93.3,96.95,101.1,104.55,105.6,105.6,105.6,105.6,105.7,107.3,108.95,112.9,120.1,128.3,134.05,136.8,140.4,142.95,150.6,157.65,163.7,169.6,174.05,183.5,193,203.75,215.6,224.45,230.6,235.8,243.7,250.6,254.05,254.95,255.75,256.35,257.25,258.55,260.7,269.25,276.5,283.25,292.15,300.9,312.4,324.1,335.95,345.45,357.2,368.4,377.3,385.3,393.55,402.9,408.45,414.7,420.65,429.4,438.45,445,451.65,638,512.5,30.9377267700565,307.55988164153,120,115.8,5.40370243444252,111,7.34846922834953,1364.4,1458.6,203.4,548.6,371.2,-378.7,956.5,914.9,-87.65,2293,2108,619,14.9934065934066,15.854347826087,2.26,6.02857142857143,4.03478260869565,-4.20777777777778,10.510989010989,9.9445652173913,-0.973888888888889,25.1978021978022,22.9130434782609,6.87777777777778,112
1934,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.8,4.85,4.85,4.85,8.9,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.5,13.55,16.45,17.25,21.55,26.4,26.4,26.4,26.4,26.4,26.45,26.45,26.45,26.55,28.7,29.05,29.25,33.3,38.55,42,42,45.05,47.25,48.9,51.9,52.85,55.15,56.75,60,62.7,65.75,66.15,70.35,73.75,75.2,78,80.65,82.95,87.3,93.25,100.3,107.6,111.75,115.55,123.4,131.25,139.05,144.25,148.6,158.75,168.95,174.7,184.15,198.6,214.1,231.5,243.15,254.65,261.65,269.25,276.45,282.45,289.25,294.35,300.9,310.05,318.3,326.95,340.5,352.25,364.7,374.35,383.7,394.85,406.15,417.55,424.45,432.4,442.4,456.7,472.05,488.95,502.05,511.8,521,982,947.5,46.4705714151248,1173.74021742449,112,112.6,5.54977477020464,110.1,7.35527021937332,1423.7,1605.4,521.7,519.8,454.3,-76,971.75,1029.85,222.85,1640,832,1022,15.6450549450549,17.45,5.79666666666667,5.71208791208791,4.93804347826087,-0.844444444444444,10.6785714285714,11.1940217391304,2.47611111111111,18.021978021978,9.04347826086956,11.3555555555556,106
1935,2.25,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,6,9.65,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,13.05,15,20.25,23.55,25.35,28.1,31.3,35.1,37.45,40.5,43.55,47.2,48.55,49.3,52.75,52.75,52.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,54.8,58,61.95,68,73.3,77.55,84.6,92.05,98.5,103.6,109.45,114.45,121.35,128.6,131.95,133.05,133.05,133.05,136.7,139.1,139.1,139.1,139.1,140.2,144.2,150.45,159.05,172.55,183.65,190.15,195.25,199.75,204.4,207.8,210.05,213.45,220.05,228.8,238.55,246.65,253.7,261.1,265.55,269.15,275.7,283.5,290,296.45,300.9,304.15,309.75,318.75,328.6,338.75,349.65,356,363.25,371.3,383.45,393.65,399.35,404.85,409.45,410.15,754,800.5,40.1478238081698,1275.03598066747,106,112,6.16441400296898,110.3,7.19644974198312,1394.6,1322.4,395.9,602.5,326.6,-174.7,998.55,824.5,110.6,2321,2505,2378,15.3252747252747,14.3739130434783,4.39888888888889,6.62087912087912,3.55,-1.94111111111111,10.9730769230769,8.96195652173913,1.22888888888889,25.5054945054945,27.2282608695652,26.4222222222222,106
1936,0.35,2.45,10.2,13.25,13.5,13.5,13.5,15.75,16.6,22.4,30.45,35.3,38.4,38.4,38.4,38.4,40.65,40.65,40.65,42.95,46.4,46.4,46.4,46.4,46.95,47.65,49.65,51.65,52.15,52.9,55.65,61.6,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,68.05,71.65,73.4,78.95,82.6,84.95,89.45,92.4,92.4,92.4,92.4,92.5,92.5,93.85,93.95,94.6,98.55,102.25,102.25,102.25,102.7,104.4,109.95,116.2,122.5,123.25,123.25,123.25,123.25,123.25,123.25,123.9,127.45,132.15,138.45,146.8,153.45,161.45,168.7,174.65,181.2,187.9,198.3,208.05,218,227.75,238.95,248.1,256.9,262.65,267.75,269.1,269.1,274.3,282.15,286.4,286.4,286.4,291.95,299.55,305.8,306.75,308.2,310.95,314.6,320.5,327.35,329,329.3,336.2,346.1,352.5,356.45,363.3,369,373,378.6,385.55,395.95,407.35,419.6,430.7,442.45,455.2,467.45,478.6,489.15,498.8,509,520.65,779,762,41.680435305982,1332.91060240601,106,108.8,7.56306816047562,110.4,7.02693231629406,1247.8,1464.6,622.9,514.5,441.9,33.6,881.15,953.25,328.25,2265,1320,1794,13.7120879120879,15.9195652173913,6.84505494505494,5.65384615384615,4.80326086956522,0.369230769230769,9.68296703296703,10.3614130434783,3.60714285714286,24.8901098901099,14.3478260869565,19.7142857142857,100
1937,0,0,0,0,0,0,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.5,8.95,8.95,8.95,10.75,11.65,11.65,11.65,13.7,13.7,13.7,13.7,16.6,19.1,23.15,26.9,26.9,29.05,33.05,36.65,36.65,39.8,41.4,41.95,41.95,41.95,41.95,41.95,41.95,42.85,44.7,44.7,44.95,49,49.1,52.45,53.2,53.2,55.8,60.25,67.4,67.4,67.4,67.4,67.4,67.4,70.45,71.7,75.75,80.45,84.05,84.05,84.8,87.6,91.25,95.45,96.9,99.95,105.1,108.45,111.15,111.95,114.95,114.95,116.3,116.3,117.2,119.4,119.65,119.65,119.65,119.65,121.85,124.25,129.7,133.55,140.9,147.5,153.35,162.9,172.5,180.85,189.7,197.4,205.3,214.2,220.5,227.45,234.45,239.2,243.45,248,253.75,258.05,259.55,265.85,273.25,275.95,279.3,281.3,286.4,291.65,296.75,302.75,311.3,321.35,332.05,342.6,351.1,357.6,368.75,378.65,390.65,400.85,414.2,423.5,433.3,444.5,457.3,832,728,38.4626412417602,659.093792671861,100,105,4.79583152331272,109.7,7.61650255111302,1311.7,1453.8,532.2,529.1,468,-19.7,920.4,960.9,256.25,1862,2913,1713,14.4142857142857,15.8021739130435,5.91333333333333,5.81428571428571,5.08695652173913,-0.218888888888889,10.1142857142857,10.4445652173913,2.84722222222222,20.4615384615385,31.6630434782609,19.0333333333333,101
1938,0,0,0,0,0,0,0,0,1,1.45,1.45,5.4,11.1,15.1,18,19.9,23.7,24.2,25.35,25.6,25.7,26.3,26.3,26.65,26.65,28.4,28.4,28.4,30.2,30.2,30.2,33.5,33.55,33.55,35.9,38.2,38.2,38.2,38.2,38.2,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,39.85,40.05,40.4,40.4,42,46.9,48.8,52.8,57.65,59.8,65.6,71.4,74.8,80.9,81.55,86.1,87.2,87.4,89.3,94.05,101.1,109.3,116.05,123.7,130.9,138.1,144.45,151.3,157.95,165,168.5,169.7,176.05,181.25,190.2,200.5,208.3,217.5,224.05,224.45,226.1,230.05,236.45,240.45,242.2,242.2,242.2,242.2,244.15,249.65,254.9,260.35,264.45,265.9,265.9,266.25,266.25,266.8,267.55,268.75,271.25,272.75,272.95,274.2,278.65,281.2,281.2,283.55,288.1,294.45,301.15,309.35,319.45,324.3,330.5,338.8,346.15,355.2,366.6,380.8,394.05,408.55,705,754,40.6059508201293,1957.61214594079,101,100.8,6.1400325732035,108.3,9.6038186849468,1473.4,1457.4,405.8,603.7,249.7,-230,1038.55,853.55,87.9,1413,1190,1483,16.1912087912088,15.8413043478261,4.50888888888889,6.63406593406593,2.71413043478261,-2.55555555555556,11.4126373626374,9.27771739130435,0.976666666666667,15.5274725274725,12.9347826086957,16.4777777777778,91
1939,0.2,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.5,4.5,6.8,13.65,20.2,25.3,30.15,31.1,35.5,40.6,43.25,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,46.85,49.75,52.45,52.85,52.85,52.85,52.85,52.85,53.3,53.3,53.3,53.3,53.3,54.25,55.5,57.6,59.35,61.45,61.6,63.3,64.15,68.35,72.75,77.3,84.85,89.15,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,89.3,90,90,90,90,90,92.95,93.75,98.5,104.3,111.15,117.5,126.65,133.8,139.6,146.95,152.65,160.8,169,181.85,194.55,208.45,221.85,231.6,238.85,247.55,251.7,255.8,261.8,268.5,277.7,282.65,288.25,293.85,296.75,300.05,301.7,304.1,306.85,311.15,317.15,321.9,327.75,334.75,343.9,351.3,355.5,362.6,370.6,379.35,384.9,389.2,395.4,401.85,409.25,541,599.5,31.6151208052202,2076.78462225103,91,100.6,5.94138031100518,106.6,8.32933237287226,1292.9,1196.9,490.6,603.6,373,-103.9,948.25,784.95,193.35,3462,3786,1155,14.2076923076923,13.0097826086957,5.45111111111111,6.63296703296703,4.05434782608696,-1.15444444444444,10.4203296703297,8.5320652173913,2.14833333333333,38.043956043956,41.1521739130435,12.8333333333333,105
1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.5,6.8,7.2,7.2,10.3,16,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,25.1,30.3,37.4,43.25,43.25,43.25,44.65,52.15,60.3,66.05,71.7,78.05,85.35,93.2,100.65,109.75,112.75,112.75,112.75,112.75,117.95,123.45,130.75,136.4,140.9,143.65,143.95,147.35,149.45,150.85,152,154.2,155.6,156.95,158.8,165.85,173,181.3,191.3,197.25,203.95,214.25,225.15,237.5,251.25,260,268.05,278.5,288.95,300.55,310.7,322.55,335.9,344.1,352.65,361.25,370.85,379.2,391.35,401.25,411.75,422.15,430.3,436.3,445.7,456.7,610,567,39.1397036045405,1558.44082300784,105,101.8,7.66159252375118,106.9,8.4780763017195,1346.4,1477.2,80.4,599.6,404.9,-585.1,973,941.05,-252.35,3969,1425,1211,14.7956043956044,16.0565217391304,0.883516483516483,6.58901098901099,4.40108695652174,-6.42967032967033,10.6923076923077,10.2288043478261,-2.77307692307692,43.6153846153846,15.4891304347826,13.3076923076923,112
